anon_case,original_case,original_pipeline,anon_pipeline,pipeline_match,original_nodes,anon_nodes,nodes_match,original_levels,anon_levels,levels_match,anon_status,anon_cec_pass
anon_001,tc_public_1,sop_fx,sop_fx,True,103,103,True,10,10,True,selected_candidate,True
anon_002,tc_public_2,sop_fx,sop_fx,True,19,19,True,4,4,True,selected_candidate,True
anon_003,tc_public_3,sop_fx,sop_fx,True,109,109,True,8,8,True,selected_candidate,True
anon_004,tc_public_4,sop_fx,sop_fx,True,69,69,True,8,8,True,selected_candidate,True
anon_005,tc_public_5,dc2_fast,dc2_fast,True,65,65,True,2,2,True,selected_candidate,True
anon_006,tc_public_6,sop_fx,sop_fx,True,162,162,True,4,4,True,selected_candidate,True
anon_007,tc_public_7,sop_fx,sop_fx,True,252,252,True,3,3,True,selected_candidate,True
anon_008,tc_public_8,sop_fx,sop_fx,True,193,193,True,3,3,True,selected_candidate,True
anon_009,tc_public_9,sop_fx,sop_fx,True,224,224,True,5,5,True,selected_candidate,True
anon_010,tc_public_10,dc2_fast,dc2_fast,True,161,161,True,4,4,True,selected_candidate,True
anon_011,tc_public_11,dc2_fast,dc2_fast,True,328,328,True,7,7,True,selected_candidate,True
anon_012,tc_public_12,rewrite2,rewrite2,True,1385,1385,True,13,13,True,selected_candidate,True
anon_013,tc_public_13,r7b_r7win_fraig_high,r7b_r7win_fraig_high,True,1043,1043,True,13,13,True,selected_candidate,True
anon_014,tc_public_14,r7b_r7win_fraig_high,r7b_r7win_fraig_high,True,2223,2223,True,17,17,True,selected_candidate,True
anon_015,tc_public_15,r7b_r7win_fraig_high,r7b_r7win_fraig_high,True,922,922,True,11,11,True,selected_candidate,True
anon_016,tc_public_16,dc2_fast,dc2_fast,True,45,45,True,6,6,True,selected_candidate,True
anon_017,tc_public_17,dc2_fast,dc2_fast,True,93,93,True,6,6,True,selected_candidate,True
anon_018,tc_public_18,dc2_fast,dc2_fast,True,498,498,True,12,12,True,selected_candidate,True
anon_019,tc_public_19,high_aig_three_round,high_aig_three_round,True,5277,5277,True,18,18,True,selected_candidate,True
anon_020,tc_public_20,high_aig_three_round,high_aig_three_round,True,5538,5538,True,20,20,True,selected_candidate,True
anon_021,tc_public_21,high_aig_three_round,high_aig_three_round,True,5556,5556,True,20,20,True,selected_candidate,True
anon_022,tc_public_22,high_aig_three_round,high_aig_three_round,True,11049,11049,True,20,20,True,selected_candidate,True
anon_023,tc_public_23,dc2_fast,dc2_fast,True,1530,1530,True,16,16,True,selected_candidate,True
anon_024,tc_public_24,dc2_fast,dc2_fast,True,215,215,True,8,8,True,selected_candidate,True
anon_025,tc_public_25,dc2_fast,dc2_fast,True,26,26,True,4,4,True,selected_candidate,True
anon_026,tc_public_26,dc2_fast,dc2_fast,True,1048,1048,True,10,10,True,selected_candidate,True
anon_027,tc_public_27,dc2_fast,dc2_fast,True,376,376,True,7,7,True,selected_candidate,True
anon_028,tc_public_28,dc2_fast,dc2_fast,True,520,520,True,7,7,True,selected_candidate,True
anon_029,tc_public_29,dc2_fast,dc2_fast,True,109,109,True,7,7,True,selected_candidate,True
anon_030,tc_public_30,high_aig_three_round,high_aig_three_round,True,5421,5421,True,21,21,True,selected_candidate,True
